"","Name","NameK","SGG","X16_result","X17_result"
"1","Gangwon Gangneung-si","강원도 강릉시",42150,0.665658823948297,0.675371616281092
"2","Gangwon Goseong-gun","강원도 고성군",42820,0.535220362551837,0.572340209944735
"3","Gangwon Donghae-si","강원도 동해시",42170,0.55074854062068,0.572065608835477
"4","Gangwon Samcheok-si","강원도 삼척시",42230,0.508385013191589,0.529183644730854
"5","Gangwon Sokcho-si","강원도 속초시",42210,0.557739063556281,0.576261623212636
"6","Gangwon Yanggu-gun","강원도 양구군",42800,0.558153444619675,0.57603649603936
"7","Gangwon Yangyang-gun","강원도 양양군",42830,0.588791135124824,0.633745067390753
"8","Gangwon Yeongwol-gun","강원도 영월군",42750,0.514017740478882,0.551249403740116
"9","Gangwon Wonju-si","강원도 원주시",42130,0.542577854506713,0.565072979469381
"10","Gangwon Inje-gun","강원도 인제군",42810,0.482307473078843,0.494360190380898
"11","Gangwon Jeongseon-gun","강원도 정선군",42770,0.499153116865618,0.515265101143894
"12","Gangwon Cheorwon-gun","강원도 철원군",42780,0.647929633788345,0.67792362803365
"13","Gangwon Chuncheon-si","강원도 춘천시",42110,0.568810507157905,0.601981018441228
"14","Gangwon Taebaek-si","강원도 태백시",42190,0.600288177880549,0.634941661586844
"15","Gangwon Pyeongchang-gun","강원도 평창군",42760,0.646321247065648,0.679018770885508
"16","Gangwon Hongcheon-gun","강원도 홍천군",42720,0.568446124227625,0.589495144260142
"17","Gangwon Hwacheon-gun","강원도 화천군",42790,0.614345838860846,0.635843270294463
"18","Gangwon Hoengseong-gun","강원도 횡성군",42730,0.490943433339775,0.524272089104607
"19","Gyeonggi Gapyeong-gun","경기도 가평군",41820,0.624171653854452,0.641209331728132
"20","Gyeonggi Goyang-si","경기도 고양시",41280,0.644889749392898,0.607629445025969
"21","Gyeonggi Gwacheon-si","경기도 과천시",41290,0.563263683671358,0.568488088800318
"22","Gyeonggi Gwangmyeong-si","경기도 광명시",41210,0.731426291298665,0.709608536689586
"23","Gyeonggi Gwangju-si","경기도 광주시",41610,0.597151913215052,0.601333632884989
"24","Gyeonggi Guri-si","경기도 구리시",41310,0.662573148767538,0.638900929505597
"25","Gyeonggi Gunpo-si","경기도 군포시",41410,0.596080303846894,0.59750736872716
"26","Gyeonggi Gimpo-si","경기도 김포시",41570,0.638451049771265,0.631610385884953
"27","Gyeonggi Namyangju-si","경기도 남양주시",41360,0.616288590074002,0.61273089323956
"28","Gyeonggi Dongducheon-si","경기도 동두천시",41250,0.598828872207255,0.61503364788066
"29","Gyeonggi Bucheon-si","경기도 부천시",41190,0.544622807763378,0.516572136639848
"30","Gyeonggi Seongnam-si","경기도 성남시",41130,0.485663510788079,0.471570012949233
"31","Gyeonggi Suwon-si","경기도 수원시",41110,0.557874099638515,0.544666451938124
"32","Gyeonggi Siheung-si","경기도 시흥시",41390,0.469330189987981,0.438611123401519
"33","Gyeonggi Ansan-si","경기도 안산시",41270,0.536064397871168,0.515859648244188
"34","Gyeonggi Anseong-si","경기도 안성시",41550,0.597546597666922,0.601165013898389
"35","Gyeonggi Anyang-si","경기도 안양시",41170,0.668865360186088,0.658541318930741
"36","Gyeonggi Yangju-si","경기도 양주시",41630,0.627135678282028,0.619778977763242
"37","Gyeonggi Yangpyeong-gun","경기도 양평군",41830,0.61921237649687,0.625246896170995
"38","Gyeonggi Yeoju-si","경기도 여주시",41670,0.585960922117853,0.594902010080887
"39","Gyeonggi Yeoncheon-gun","경기도 연천군",41800,0.583738886580918,0.573299325654281
"40","Gyeonggi Osan-si","경기도 오산시",41370,0.511019790763937,0.495109679243136
"41","Gyeonggi Yongin-si","경기도 용인시",41460,0.587949145910533,0.585263043737571
"42","Gyeonggi Uiwang-si","경기도 의왕시",41430,0.573327864733605,0.573402337813363
"43","Gyeonggi Uijeongbu-si","경기도 의정부시",41150,0.660884228904347,0.653669142695482
"44","Gyeonggi Icheon-si","경기도 이천시",41500,0.611458115315237,0.609196075027366
"45","Gyeonggi Paju-si","경기도 파주시",41480,0.607947289328914,0.612154480082825
"46","Gyeonggi Pyeongtaek-si","경기도 평택시",41220,0.580487248003935,0.603724502266955
"47","Gyeonggi Pocheon-si","경기도 포천시",41650,0.607081854435357,0.613003348586153
"48","Gyeonggi Hanam-si","경기도 하남시",41450,0.633167765797505,0.622310378695086
"49","Gyeonggi Hwaseong-si","경기도 화성시",41590,0.53475838582169,0.535992764310439
"50","Gyeongnam Geoje-si","경상남도 거제시",48310,0.63819381998661,0.662094501826389
"51","Gyeongnam Geochang-gun","경상남도 거창군",48880,0.512004579600225,0.521604659897637
"52","Gyeongnam Goseong-gun","경상남도 고성군",48820,0.550954186208747,0.584973830007712
"53","Gyeongnam Gimhae-si","경상남도 김해시",48250,0.55833219643553,0.577468092013752
"54","Gyeongnam Namhae-gun","경상남도 남해군",48840,0.672561021874605,0.707708854448716
"55","Gyeongnam Miryang-si","경상남도 밀양시",48270,0.549594568992431,0.580315811809237
"56","Gyeongnam Sacheon-si","경상남도 사천시",48240,0.578881396708776,0.604400981955657
"57","Gyeongnam Sancheong-gun","경상남도 산청군",48860,0.638950480308554,0.663432566788506
"58","Gyeongnam Yangsan-si","경상남도 양산시",48330,0.567086600481197,0.57686276015203
"59","Gyeongnam Uiryeong-gun","경상남도 의령군",48720,0.516239145032263,0.534317386366907
"60","Gyeongnam Jinju-si","경상남도 진주시",48170,0.571260294395041,0.589425281246511
"61","Gyeongnam Changnyeong-gun","경상남도 창녕군",48740,0.584567848972938,0.607737824129494
"62","Gyeongnam Changwon-si","경상남도 창원시",48120,0.545211041471501,0.560856757747126
"63","Gyeongnam Tongyeong-si","경상남도 통영시",48220,0.550958623382305,0.570195090895918
"64","Gyeongnam Hadong-gun","경상남도 하동군",48850,0.606414193905992,0.634209010477427
"65","Gyeongnam Haman-gun","경상남도 함안군",48730,0.518065747228739,0.560963580221467
"66","Gyeongnam Hamyang-gun","경상남도 함양군",48870,0.596115207350936,0.626154137638252
"67","Gyeongnam Hapcheon-gun","경상남도 합천군",48890,0.523431951547538,0.542618870836766
"68","Gyeongbuk Gyeongsan-si","경상북도 경산시",47290,0.48995387342113,0.490794405184997
"69","Gyeongbuk Gyeongju-si","경상북도 경주시",47130,0.587396729087406,0.603953660483034
"70","Gyeongbuk Goryeong-gun","경상북도 고령군",47830,0.581064950517494,0.587746953556809
"71","Gyeongbuk Gumi-si","경상북도 구미시",47190,0.466287127667216,0.479722971251189
"72","Gyeongbuk Gunwi-gun","경상북도 군위군",47720,0.506860419839467,0.562964995673503
"73","Gyeongbuk Gimcheon-si","경상북도 김천시",47150,0.543055998856838,0.569417082676663
"74","Gyeongbuk Mungyeong-si","경상북도 문경시",47280,0.540254413830176,0.564711113828264
