"Name","NameK","SGG","X16_hazard","X17_hazard","X18_hazard"
"Jeonnam Yeosu-si","전라남도 여수시",46130,0.454846830996982,0.459018771919014,0.44508369865643
"Jeonnam Yeonggwang-gun","전라남도 영광군",46870,0.379493845846678,0.379903724175392,0.39289689636141
"Jeonnam Yeongam-gun","전라남도 영암군",46830,0.2141543874162,0.208886300018755,0.231907995869374
"Jeonnam Wando-gun","전라남도 완도군",46890,0.540134882739731,0.555466581369241,0.553934472380442
"Jeonnam Jangseong-gun","전라남도 장성군",46880,0.436298752774508,0.438462554943917,0.44745841633472
"Jeonnam Jangheung-gun","전라남도 장흥군",46800,0.420262126233734,0.427100315877292,0.428774787635952
"Jeonnam Jindo-gun","전라남도 진도군",46900,0.347589222165667,0.347444179499002,0.375611739244217
"Jeonnam Hampyeong-gun","전라남도 함평군",46860,0.266511645927199,0.262804946876362,0.283407922206262
"Jeonnam Haenam-gun","전라남도 해남군",46820,0.345753053230544,0.347165200502229,0.37000208048454
"Jeonnam Hwasun-gun","전라남도 화순군",46790,0.474805529181383,0.484385988321615,0.488330470868088
"Jeonbuk Gochang-gun","전라북도 고창군",45790,0.377974105045856,0.373889335225993,0.384677198363103
"Jeonbuk Gunsan-si","전라북도 군산시",45130,0.467407614691338,0.429107010392044,0.495656465775946
"Jeonbuk Gimje-si","전라북도 김제시",45210,0.267633778955647,0.260500751975815,0.294709294330566
"Jeonbuk Namwon-si","전라북도 남원시",45190,0.194833043925051,0.190972434821361,0.217472208007846
"Jeonbuk Muju-gun","전라북도 무주군",45730,0.240160993309077,0.22857850687112,0.253869717847952
"Jeonbuk Buan-gun","전라북도 부안군",45800,0.255125253689063,0.251870159362459,0.280512328981706
"Jeonbuk Sunchang-gun","전라북도 순창군",45770,0.293998659512552,0.284415357418002,0.309075913549639
"Jeonbuk Wanju-gun","전라북도 완주군",45710,0.22435774612599,0.219546126801211,0.251658267253434
"Jeonbuk Iksan-si","전라북도 익산시",45140,0.378220556505779,0.309548640638769,0.358695774997528
"Jeonbuk Imsil-gun","전라북도 임실군",45750,0.259941092417148,0.206246280982481,0.284673558181377
"Jeonbuk Jangsu-gun","전라북도 장수군",45740,0.206311097967672,0.19417954809341,0.245038835588834
"Jeonbuk Jeonju-si","전라북도 전주시",45110,0.223210350214536,0.221898688652229,0.250751398022421
"Jeonbuk Jeongeup-si","전라북도 정읍시",45180,0.352464165021909,0.344288535290078,0.361999359705875
"Jeonbuk Jinan-gun","전라북도 진안군",45720,0.218686696409813,0.205078815481581,0.251494488844686
"Jeju","제주특별자치도",50000,0.611829732037354,0.626467535793453,0.665602302869133
"Chungnam Gyeryong-si","충청남도 계룡시",44250,0.555189342405272,0.468504659055014,0.434140679695192
"Chungnam Gongju-si","충청남도 공주시",44150,0.472146820613098,0.331051868541811,0.342645991121749
"Chungnam Geumsan-gun","충청남도 금산군",44710,0.226717105832905,0.22048059727375,0.250664526264985
"Chungnam Nonsan-si","충청남도 논산시",44230,0.436531426637798,0.270572536806557,0.30150342720962
"Chungnam Dangjin-si","충청남도 당진시",44270,0.436201575684039,0.444533639295489,0.434140679695192
"Chungnam Boryeong-si","충청남도 보령시",44180,0.582047473476206,0.531880094857594,0.568817183423632
"Chungnam Buyeo-gun","충청남도 부여군",44760,0.499945029994054,0.269358083509746,0.320570578295211
"Chungnam Seosan-si","충청남도 서산시",44210,0.436201575684039,0.444533639295489,0.434140679695192
"Chungnam Seocheon-gun","충청남도 서천군",44770,0.49067129459831,0.44450959570593,0.508287876943571
"Chungnam Asan-si","충청남도 아산시",44200,0.35846969747024,0.37323060733419,0.36281994650855
"Chungnam Yesan-gun","충청남도 예산군",44810,0.438611881205646,0.415583111392065,0.414006454195375
"Chungnam Cheonan-si","충청남도 천안시",44130,0.345633459282051,0.361455995471382,0.351042411437218
"Chungnam Cheongyang-gun","충청남도 청양군",44790,0.509684268955999,0.289356332640193,0.338279491051583
"Chungnam Taean-gun","충청남도 태안군",44825,0.460547430903414,0.459114262939002,0.456622043162994
"Chungnam Hongseong-gun","충청남도 홍성군",44800,0.497156775290498,0.481039435627624,0.490427714832292
"Chungbuk Goesan-gun","충청북도 괴산군",43760,0.345260488848073,0.324933883740784,0.338982006995278
"Chungbuk Danyang-gun","충청북도 단양군",43800,0.427923496503707,0.426959452970821,0.408568243082322
"Chungbuk Boeun-gun","충청북도 보은군",43720,0.545077685162555,0.476881264594103,0.48537091840286
"Chungbuk Yeongdong-gun","충청북도 영동군",43740,0.255789322229007,0.219482625599647,0.241583112915363
"Chungbuk Okcheon-gun","충청북도 옥천군",43730,0.470484572442637,0.412225283781164,0.417302119097503
"Chungbuk Eumseong-gun","충청북도 음성군",43770,0.465626883749481,0.458497828463678,0.465487737865597
"Chungbuk Jecheon-si","충청북도 제천시",43150,0.44356646872654,0.445916505424617,0.421371360424517
"Chungbuk Jeungpyeong-gun","충청북도 증평군",43745,0.26849440841553,0.298408929802494,0.30742378020602
"Chungbuk Jincheon-gun","충청북도 진천군",43750,0.33758356615869,0.354876680185829,0.346490562430816
"Chungbuk Cheongju-si","충청북도 청주시",43110,0.326824367808056,0.335985362507246,0.340868194411858
"Chungbuk Chungju-si","충청북도 충주시",43130,0.346567612875741,0.345205858930976,0.359722545159728
