"","Name","NameK","SGG","X16_result","X17_result"
"137","Chungnam Gongju-si","충청남도 공주시",44150,0.593266507779431,0.558462950134947
"138","Chungnam Geumsan-gun","충청남도 금산군",44710,0.567658696802301,0.561588206519094
"139","Chungnam Nonsan-si","충청남도 논산시",44230,0.610188727994784,0.575627319627524
"140","Chungnam Dangjin-si","충청남도 당진시",44270,0.501492524668756,0.504344414572899
"141","Chungnam Boryeong-si","충청남도 보령시",44180,0.585842803838391,0.570689645825285
"142","Chungnam Buyeo-gun","충청남도 부여군",44760,0.648323467208648,0.591700940344419
"143","Chungnam Seosan-si","충청남도 서산시",44210,0.551122073873573,0.542183150215785
"144","Chungnam Seocheon-gun","충청남도 서천군",44770,0.610018368264653,0.602499116232145
"145","Chungnam Asan-si","충청남도 아산시",44200,0.556593206556458,0.540530703454665
"146","Chungnam Yesan-gun","충청남도 예산군",44810,0.554472718093093,0.56212671835335
"147","Chungnam Cheonan-si","충청남도 천안시",44130,0.474678628617422,0.46027047978779
"148","Chungnam Cheongyang-gun","충청남도 청양군",44790,0.631825474517755,0.582434653869223
"149","Chungnam Taean-gun","충청남도 태안군",44825,0.529257133504733,0.525639491670295
"150","Chungnam Hongseong-gun","충청남도 홍성군",44800,0.543321624832307,0.542313158263589
"151","Chungbuk Goesan-gun","충청북도 괴산군",43760,0.457012667375295,0.432980944522165
"152","Chungbuk Danyang-gun","충청북도 단양군",43800,0.54814732151635,0.541155553565035
"153","Chungbuk Boeun-gun","충청북도 보은군",43720,0.625716316337571,0.621168118578273
"154","Chungbuk Yeongdong-gun","충청북도 영동군",43740,0.434928000416079,0.438406775195164
"155","Chungbuk Okcheon-gun","충청북도 옥천군",43730,0.585909681444877,0.551236516522748
"156","Chungbuk Eumseong-gun","충청북도 음성군",43770,0.546125588598411,0.525674606929723
"157","Chungbuk Jecheon-si","충청북도 제천시",43150,0.561506712258572,0.557520551706139
"158","Chungbuk Jeungpyeong-gun","충청북도 증평군",43745,0.472876285526054,0.422415608838712
"159","Chungbuk Jincheon-gun","충청북도 진천군",43750,0.517668236454171,0.514748491644944
"160","Chungbuk Cheongju-si","충청북도 청주시",43110,0.482566944161646,0.439712182287602
"161","Chungbuk Chungju-si","충청북도 충주시",43130,0.53615575247288,0.524460811638813
