"Name","NameK","SGG","X16_exposure","X17_exposure"
"Jeonbuk Buan-gun","전라북도 부안군",45800,0.362818551642569,0.356764132467329
"Jeonbuk Sunchang-gun","전라북도 순창군",45770,0.39058328909606,0.384583327559285
"Jeonbuk Wanju-gun","전라북도 완주군",45710,0.533756530877916,0.53175950046002
"Jeonbuk Iksan-si","전라북도 익산시",45140,0.520230602647428,0.517235568516929
"Jeonbuk Imsil-gun","전라북도 임실군",45750,0.398229309585327,0.391315943961963
"Jeonbuk Jangsu-gun","전라북도 장수군",45740,0.407216170012808,0.398462187135013
"Jeonbuk Jeonju-si","전라북도 전주시",45110,0.559040551451258,0.558455180125831
"Jeonbuk Jeongeup-si","전라북도 정읍시",45180,0.417960506732841,0.414269961268107
"Jeonbuk Jinan-gun","전라북도 진안군",45720,0.377311017831762,0.37208239636634
"Jeju","제주특별자치도",50000,0.675292517203709,0.678186995889581
"Chungnam Gyeryong-si","충청남도 계룡시",44250,0.243614141471235,0.236900715394183
"Chungnam Gongju-si","충청남도 공주시",44150,0.517253644760117,0.512090597012169
"Chungnam Geumsan-gun","충청남도 금산군",44710,0.390442870648172,0.38503916390431
"Chungnam Nonsan-si","충청남도 논산시",44230,0.484121802001013,0.479473067856593
"Chungnam Dangjin-si","충청남도 당진시",44270,0.379014622679431,0.373374914441201
"Chungnam Boryeong-si","충청남도 보령시",44180,0.319148568111948,0.310766096623501
"Chungnam Buyeo-gun","충청남도 부여군",44760,0.492772504831531,0.490304686331689
"Chungnam Seosan-si","충청남도 서산시",44210,0.378448578610501,0.369852307259408
"Chungnam Seocheon-gun","충청남도 서천군",44770,0.380631498060391,0.37848579973153
"Chungnam Asan-si","충청남도 아산시",44200,0.504939577988366,0.501747516152587
"Chungnam Yesan-gun","충청남도 예산군",44810,0.360044751998724,0.355905074512695
"Chungnam Cheonan-si","충청남도 천안시",44130,0.531833308568985,0.529892536045671
"Chungnam Cheongyang-gun","충청남도 청양군",44790,0.353435643680261,0.348078703516604
"Chungnam Taean-gun","충청남도 태안군",44825,0.223233363899147,0.215789340248473
"Chungnam Hongseong-gun","충청남도 홍성군",44800,0.351824520641544,0.343158688948353
"Chungbuk Goesan-gun","충청북도 괴산군",43760,0.333360077810762,0.26380480278749
"Chungbuk Danyang-gun","충청북도 단양군",43800,0.276776402904177,0.218865996349343
"Chungbuk Boeun-gun","충청북도 보은군",43720,0.354275490705688,0.352941219846731
"Chungbuk Yeongdong-gun","충청북도 영동군",43740,0.442729454470876,0.407091157603066
"Chungbuk Okcheon-gun","충청북도 옥천군",43730,0.35292028549493,0.297001765852676
"Chungbuk Eumseong-gun","충청북도 음성군",43770,0.447714171695586,0.409236265642178
"Chungbuk Jecheon-si","충청북도 제천시",43150,0.29369147702331,0.254338549393977
"Chungbuk Jeungpyeong-gun","충청북도 증평군",43745,0.361952233335938,0.320021407195097
"Chungbuk Jincheon-gun","충청북도 진천군",43750,0.360369280327412,0.356706205728849
"Chungbuk Cheongju-si","충청북도 청주시",43110,0.413208996369213,0.39521257597678
"Chungbuk Chungju-si","충청북도 충주시",43130,0.493586860311526,0.471452084482409
